WellName,Constituent,SampleDate,Result,Units,Flags
MW-07,GW,38104,92.23,Level,
MW-07,TOLUENE,38104,3500,ug/l,
MW-07,XYLENE,38104,ND<13,ug/l,
MW-08,BENZENE,38104,510,ug/l,
MW-08,GW,38104,93.5,Level,
MW-08,TOLUENE,38104,260,ug/l,
MW-08,XYLENE,38104,ND<1.0,ug/l,
MW-09,BENZENE,38104,350,ug/l,
MW-09,GW,38104,91.1,Level,
MW-09,TOLUENE,38104,3.5,ug/l,
MW-09,XYLENE,38104,ND<0.50,ug/l,
MW-01,BENZENE,38230,1000,ug/l,
MW-01,GW,38230,92.11,Level,
MW-01,TOLUENE,38230,120,ug/l,
MW-01,XYLENE,38230,37,ug/l,
MW-10,BENZENE,38230,430,ug/l,
MW-10,GW,38230,90.64,Level,
MW-10,TOLUENE,38230,9.5,ug/l,
MW-10,XYLENE,38230,ND<0.50,ug/l,
MW-11,BENZENE,38230,66,ug/l,
MW-11,GW,38230,90.89,Level,
MW-11,TOLUENE,38230,65,ug/l,
MW-11,XYLENE,38230,ND<0.50,ug/l,
MW-02,BENZENE,38230,22000,ug/l,
MW-02,GW,38230,92.04,Level,
MW-02,TOLUENE,38230,150,ug/l,
MW-02,XYLENE,38230,190,ug/l,
MW-03,BENZENE,38230,ND<10,ug/l,
MW-03,GW,38230,94.38,Level,
MW-03,TOLUENE,38230,ND<1.0,ug/l,
MW-03,XYLENE,38230,ND<0.50,ug/l,
MW-04,BENZENE,38230,ND<10,ug/l,
MW-04,GW,38230,93.81,Level,
MW-04,TOLUENE,38230,560,ug/l,
MW-04,XYLENE,38230,ND<0.50,ug/l,
MW-05,BENZENE,38230,ND<10,ug/l,
MW-05,GW,38230,95.73,Level,
MW-05,TOLUENE,38230,ND<1.0,ug/l,
MW-05,XYLENE,38230,ND<0.50,ug/l,
MW-06,BENZENE,38230,2100,ug/l,
MW-06,GW,38230,92.01,Level,
MW-06,TOLUENE,38230,27,ug/l,
MW-06,XYLENE,38230,ND<2.5,ug/l,
MW-07,BENZENE,38230,3300,ug/l,
MW-07,GW,38230,92.14,Level,
MW-07,TOLUENE,38230,2600,ug/l,
MW-07,XYLENE,38230,ND<0.50,ug/l,
MW-08,BENZENE,38230,280,ug/l,
MW-08,GW,38230,93.45,Level,
MW-08,TOLUENE,38230,170,ug/l,
MW-08,XYLENE,38230,ND<0.50,ug/l,
MW-09,BENZENE,38230,170,ug/l,
MW-09,GW,38230,90.64,Level,
MW-09,TOLUENE,38230,1.4,ug/l,
MW-09,XYLENE,38230,ND<0.50,ug/l,
